spo2_percentage,day
98.193,2023-09-13
98.602,2023-09-14
98.758,2023-09-15
99.304,2023-09-16
99.214,2023-09-17
98.395,2023-09-18
98.754,2023-09-19
99.371,2023-09-20
98.9,2023-09-21
98.693,2023-09-22
99.352,2023-09-23
99.017,2023-09-24
98.686,2023-09-25
99.187,2023-09-26
99.256,2023-09-27
99.855,2023-09-28
98.894,2023-09-29
98.03,2023-09-30
99.578,2023-10-01
99.434,2023-10-02
99.16,2023-10-03
97.973,2023-10-04
98.88,2023-10-05
98.727,2023-10-06
99.027,2023-10-07
97.828,2023-10-08
99.197,2023-10-09
99.094,2023-10-10
99.289,2023-10-11
98.709,2023-10-12
,2023-10-13
,2023-10-14
,2023-10-15
,2023-10-16
,2023-10-17
,2023-10-18
,2023-10-19
,2023-10-20
,2023-10-21
,2023-10-22
,2023-10-23
,2023-10-24
,2023-10-25
,2023-10-26
,2023-10-27
,2023-10-28
,2023-10-30
,2023-10-31
,2023-11-01
,2023-11-02
,2023-11-03
,2023-11-04
,2023-11-05
,2023-11-06
,2023-11-07
,2023-11-08
,2023-11-09
,2023-11-10
,2023-11-11
,2023-11-12
,2023-11-13
,2023-11-14
,2023-11-15
,2023-11-16
,2023-11-17
,2023-11-18
,2023-11-19
,2023-11-20
,2023-11-21
,2023-11-22
99.695,2023-11-23
99.142,2023-11-24
99.053,2023-11-25
99.169,2023-11-26
98.749,2023-11-27
98.897,2023-11-28
99.286,2023-11-29
98.658,2023-11-30
99.131,2023-12-01
98.358,2023-12-02
